ADANIPOWER | 2015-03 | ROCE_ANOMALY | computed=11.62% source=32.20% diff=20.58pp | category=version difference
ADANIPOWER | 2015-03 | ROE_ANOMALY | computed=-14.25% source=57.10% diff=71.35pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2016-03 | ROCE_ANOMALY | computed=14.29% source=32.20% diff=17.91pp | category=version difference
ADANIPOWER | 2016-03 | ROE_ANOMALY | computed=7.38% source=57.10% diff=49.72pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2017-03 | ROCE_ANOMALY | computed=4.17% source=32.20% diff=28.03pp | category=version difference
ADANIPOWER | 2017-03 | ROE_ANOMALY | computed=-205.80% source=57.10% diff=262.90pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2018-03 | ROCE_ANOMALY | computed=11.52% source=32.20% diff=20.68pp | category=version difference
ADANIPOWER | 2018-03 | ROE_ANOMALY | computed=-236.56% source=57.10% diff=293.66pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2019-03 | ROCE_ANOMALY | computed=13.59% source=32.20% diff=18.61pp | category=version difference
ADANIPOWER | 2019-03 | ROE_ANOMALY | computed=-12.76% source=57.10% diff=69.86pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2020-03 | ROCE_ANOMALY | computed=9.82% source=32.20% diff=22.38pp | category=version difference
ADANIPOWER | 2020-03 | ROE_ANOMALY | computed=-35.10% source=57.10% diff=92.20pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2021-03 | ROCE_ANOMALY | computed=16.15% source=32.20% diff=16.05pp | category=version difference
ADANIPOWER | 2021-03 | ROE_ANOMALY | computed=9.69% source=57.10% diff=47.41pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2022-03 | ROCE_ANOMALY | computed=20.40% source=32.20% diff=11.80pp | category=version difference
ADANIPOWER | 2022-03 | ROE_ANOMALY | computed=26.61% source=57.10% diff=30.49pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2023-03 | ROCE_ANOMALY | computed=19.82% source=32.20% diff=12.38pp | category=version difference
